facilityname,countrycode,floodrisk,latitude,longitude
Panasonic Industrial Devices Materials Europe GmbH,AT,9.31,48.231083,14.496667
Panasonic Industrial Devices Materials Europe GmbH,AT,9.31,48.231083,14.496667
Imerys Villach GmbH,AT,2.18,46.620528,13.876833
Imerys Fused Minerals Villach GmbH,AT,2.18,46.62053,13.876833
Imerys Fused Minerals Villach GmbH,AT,2.18,46.62053,13.876833
WIENERBERGER,BE,0.08,51.101906,5.793782
WIENERBERGER SAS,FR,0.54,44.01012,4.93042
Sandtoft Roof Tiles Ltd,GB,1.78,53.7366,-0.698748
WIENERBERGER,BE,3.85,51.08122,4.41163
WIENERBERGER,BE,0.08,51.10233,5.79576
Wienerberger Téglaipari Zrt.,HU,0.31,47.01521,20.58838
WIENERBERGER Zrt.,HU,0.08,47.608042,17.23978
WIENERBERGER Zrt.,HU,0.83,47.930796,21.387469
Wienerberger Ltd,GB,1.78,53.7366,-0.698748
voestalpine Wire Austria GmbH,AT,30,47.410778,15.27775
voestalpine Giesserei Linz GmbH,AT,1.68,48.275056,14.343444
voestalpine Stahl GmbH,AT,3.41,48.281944,14.343056
voestalpine Stahl GmbH,AT,3.12,48.284,14.34
voestalpine Automotive Components Bunschoten B.V.,NL,0.39,52.22797,5.37257
Kemira Chemie GesmbH,AT,8.2,48.408,15.632
Kemira Oyj. Harjavallan tehtaat,FI,1.66,61.3255,22.11592
Evonik Degussa GmbH,DE,5.94,47.56448795,7.795392902
AGRANA Zucker GmbH,AT,0.78,48.243056,16.702778
AGRANA Zucker GmbH,AT,4.57,48.324778,16.038472
AGRANA Stärke GmbH,AT,8.8,48.362417,14.014972
AGRANA Zucker GmbH,AT,0.78,48.243057,16.702778
AGRANA Zucker GmbH,AT,4.57,48.32478,16.038471
Trans Austria Gasleitung GmbH,AT,5.26,48.316222,16.875083
Trans Austria Gasleitung GmbH,AT,5.26,48.316222,16.875083
Gas Connect Austria GmbH,AT,1.36,48.416778,15.852111
OMV Downstream GmbH,AT,0.54,48.144722,16.493889
VERBUND Thermal Power GmbH & Co KG in Liqu.,AT,10.27,46.90889,15.483611
VERBUND Thermal Power GmbH & Co KG in Liqu.,AT,2.05,48.32611,15.923333
VERBUND Thermal Power GmbH & Co KG,AT,2.05,48.326111,15.923333
VERBUND Thermal Power GmbH & Co KG,AT,10.27,46.911667,15.488333
VERBUND Thermal Power GmbH & Co KG,AT,4.04,48.33139,16.339167
MM Frohnleiten GmbH,AT,11.79,47.278056,15.328056
EVN Wärmekraftwerke GmbH,AT,2.05,48.325528,15.923806
EVN Wärmekraftwerke GmbH,AT,4.04,48.330528,16.337944
EVN Wärmekraftwerke GmbH,AT,6.01,48.394833,15.708278
EVN Wärmekraftwerke GmbH,AT,0.8,48.327389,15.932417
EVN AG,AT,4.04,48.33053,16.337944
EVN AG,AT,6.01,48.394833,15.708278
Sandoz GmbH,AT,1.34,47.467306,11.979528
Sandoz GmbH,AT,1.34,47.467304,11.979528
Sandoz GmbH,AT,1.34,47.467306,11.979528
Sandoz GmbH,AT,1.34,47.467304,11.979528
ARCELORMITTAL LIEGE sa (COKE-FONTE),BE,8.44,50.6045,5.5494
LIBERTY LIEGE DUDELANGE - Tilleur DLC,BE,10.44,50.6134,5.5326
RECTICEL,BE,1.54,51.010033,3.8622432
RECTICEL,BE,1.54,51.00971,3.86256
DERICHEBOURG BELGIUM - Liège,BE,8.06,50.656055,5.6355886
Kimberly-Clark GmbH,DE,15.66,50.39333619,7.582076965
Bayer AG. Division Crop Science,DE,1.24,50.0885745,8.545063051
BMW Werk Dingolfing 02.10,DE,5.42,48.63890314,12.4922234
BMW Werk 4.1 (Landshut),DE,1.12,48.56013077,12.15000588
BMW Werk 4.1 (Ergolding),DE,0.76,48.56132887,12.1515986
BMW Werk 02.10,DE,5.42,48.63890858,12.49224618
Airbus Operations GmbH,DE,0.42,53.54162014,9.837115529
Airbus Operations GmbH,DE,0.42,53.54162014,9.837115529
ArcelorMittal Hochfeld GmbH,DE,1.44,51.4133078,6.748545926
thyssenkrupp Steel Europe AG Werk Hüttenheim,DE,0.12,51.36414505,6.713031318
thyssenkrupp Steel Europe AG Werk Kokerei Schwelgern,DE,2.42,51.500991,6.728865416
HeidelbergCement AG. Zementwerk Burglengenfeld,DE,2.89,49.21282917,12.02828278
BASF SE,DE,2.2,49.52470699,8.446008598
Wacker Chemie AG,DE,2.78,51.02145001,6.95158235
Südzucker Werk Regensburg,DE,0.82,49.01247103,12.12606701
Südzucker Werk Regensburg,DE,0.25,49.00397835,12.15329154
Südzucker AG. Werk Plattling,DE,0.28,48.7876196,12.88275016
Südzucker AG. Werk Ochsenfurt,DE,0.89,49.66662752,10.08015813
Derichebourg Umwelt GmbH,DE,0.65,49.01327115,8.33514638
Veolia Keskkonnateenused AS. Tähe 108 jäätmejaam,EE,2.02,58.349944,26.732801
BASF ESPAÑOLA (CASTELLBISBAL),ES,2.11,41.444969,1.989991
MICHELIN ESPAÑA PORTUGAL S.A.,ES,2.19,41.676667,-4.7125
RECOBAT. S.L.,ES,0.73,41.495464,-0.526772
FÁBRICA DE MENGÍBAR (SMURFIT KAPPA ESPAÑA. S.A.),ES,1.32,37.978635,-3.799581
FÁBRICA DE MENGÍBAR (SMURFIT KAPPA ESPAÑA. S.A.),ES,1.32,37.978635,-3.799581
ENAGAS TRANSPORTE (TIVISSA),ES,24.28,41.058282,0.666433
ARKEMA,FR,6.46,49.28,2.5
ARKEMA Usine de Villers saint Paul,FR,5.3,49.29,2.51
WIENERBERGER SAS,FR,6.06,47.6713,-0.24707
ARKEMA FRANCE,FR,1.24,45.7049,4.83002
Arkema B.V. Location Brummen,NL,1.67,52.10302,6.15398
AIR LIQUIDE FRANCE INDUSTRIE,FR,2.04,45.3443,4.77
AIR LIQUIDE FRANCE INDUSTRIE,FR,6.25,45.6892,4.84497
ARCELORMITTAL ATLANTIQUE -  LORRAINE,FR,1.46,49.25369,2.42745
ARCELORMITTAL FRANCE,FR,8.85,47.1991,-1.65396
FAURECIA AUTOMOTIVE INDUSTRIE,FR,2.12,49.6003,5.07798
STEP - VILLEFRANCHE SUR SAONE,FR,0.73,45.9861,4.73946
STEP - ROSNY-SUR-SEINE,FR,10.57,49.00044,1.65004
SUEZ RR IWS CHEMICAL FRANCE  EX SITA,FR,3.28,48.7479,7.92556
SAFRAN AIRCRAFT ENGINES (EX SNECMA),FR,0.05,46.84563,0.5466
SAFRAN AIRCRAFT ENGINES (EX SNECMA),FR,0.05,46.84563,0.5466
EDF  TAC ARRIGHI,FR,3.03,48.78744,2.41659
EDF TAC GENNEVILLIERS,FR,3.93,48.93773,2.25804
EDF TAC,FR,3.47,48.8724,2.65534
SAFRAN TRANSMISSION SYSTEMS,FR,4.36,48.93347,2.2481
SAFRAN TRANSMISSION SYSTEMS,FR,4.36,48.93347,2.2481
SUEZ RR IWS CHEMICALS FRANCE,FR,7.16,48.94803,2.29565
DAIKIN CHEMICAL FRANCE,FR,5.23,45.7098,4.82239
DAIKIN CHEMICAL FRANCE,FR,5.23,45.7098,4.82239
SCHNEIDER ELECTRIC ALPES (EX MGA),FR,4.32,45.47622,6.02914
SUEZ RV CENTRE EST - PONT DU CHÂTEAU,FR,0.26,45.80873,3.26691
SUEZ RV YONNE METAUX,FR,2.11,47.97341,3.3848
SUEZ ORGANIQUE SAS,FR,1.56,44.26123,4.70727
PCAS,FR,3.16,48.93413,2.32489
PCAS,FR,6.23,43.891,4.68764
COLGATE PALMOLIVE,FR,5.46,49.4294,2.83859
SUEZ RR IWS MINERALS FRANCE,FR,6.16,48.94617,2.28235
SUEZ RR IWS MINERALS FRANCE,FR,10.13,45.6271,4.81397
CTSDU DE BELLEGARDE,FR,2.34,43.7471,4.50295
PRYSMIAN,FR,0.22,48.16,3.28
SANOFI CHIMIE,FR,2.03,48.77822,2.41411
SANOFI PASTEUR,FR,1.58,49.2414,1.1752
EXXONMOBIL CHEMICAL FRANCE,FR,0.02,49.4962,0.5298
EXXONMOBIL CHEMICAL FRANCE,FR,0.02,49.4962,0.5298
KIMBERLY CLARK SNC,FR,5.32,49.4055,1.114
PRYSMIAN CABLES ET SYSTEMES FRANCE,FR,8.32,49.3951,1.12451
BASF AGRI-PRODUCTION SAS,FR,4.15,49.30798,1.00322
IMERYS ALUMINATES EX KERNEOS,FR,5.29,44.5106,4.6889
ST MICROELECTRONICS,FR,0.26,45.2671,5.88449
CATERPILLAR FRANCE S.A.,FR,0.4,45.1454,5.70687
RUBIS TERMINAL,FR,0.66,48.5913,7.79767
SANOFI PASTEUR NVL,FR,7.55,45.8811,4.82778
SUEZ EAU INDUSTRIELLE (EX ONDEO IS),FR,4.92,49.2913,2.50699
GIVAUDAN LAVIROTTE (GROUPE ISALTIS),FR,0.05,45.7331,4.86177
LYONDELL CHIMIE SAS,FR,0.01,43.4201,4.86021
SUEZ RV MEDITERRANEE,FR,0.12,43.98071,4.93248
BASF (EX COGNIS FRANCE SIDOBRE SINNOVA),FR,6.79,48.9485,2.92738
Smurfit Kappa Parenco B.V.,NL,1.35,51.96997,5.72846
Smurfit Kappa Parenco B.V.,NL,1.35,51.96997,5.72846
Infineon Technologies AG,DE,1.52,49.0212496,12.05596288
Boliden Harjavalta Oy. Harjavallan tehtaat,FI,0.54,61.31992,22.12348
Boliden Harjavalta Oy. Porin kuparielektrolyysi,FI,0.7,61.45935,21.86804
Stora Enso Oyj. Heinolan Flutingtehdas,FI,3.73,61.17867,26.08156
Stora Enso Oyj. Varkauden tehtaat,FI,2.89,62.3164,27.89859
Stora Enso Oyj. Stora Enso Oyj:n Heinolan Flutingtehtaan kaatopaikka,FI,3.73,61.18159,26.08652
UPM-Kymmene Oyj. Kymi,FI,3.42,60.91123,26.66421
UPM-Kymmene Oyj. Kaukaan Tuosan teollisuuskaatopaikka,FI,2.82,61.09441,28.25129
Solvay Chemicals Finland Oy. Voikkaan vetyperoksiditehdas,FI,3.7,60.93232,26.605
IMERYS GRAPHITE & CARBON BELGIUM,BE,2.85,51.06962,4.34987
Veolia Environmental Services BE,BE,0.01,51.27037,4.39585
Unilever Deutschland Produktions GmbH & Co OHG,DE,2.46,49.44101303,8.511289015
Evonik Operations GmbH,DE,0.17,49.83227076,9.150967613
Evonik Operations GmbH,DE,1.44,51.49859333,6.758018056
Evonik Operations GmbH Werk Nord,DE,3.73,47.56803327,7.805000014
Evonik Superabsorber GmbH,DE,2.05,48.7537665,8.012984354
Solvay Fluor GmbH,DE,17.08,49.22964598,9.176024928
Procter & Gamble Manufacturing GmbH ,DE,0.46,49.92984564,8.494797004
Mercedes Benz AG  Werk Rastatt. PKW-Werk,DE,1.06,48.85928437,8.183242651
Mercedes Benz AG  Werk Rastatt. PKW-Werk,DE,1.06,48.85928437,8.183242651
Imerys Fused Minerals Laufenburg GmbH,DE,29.41,47.55679788,8.038403332
Danone GmbH Werk Rosenheim,DE,1.89,47.85579649,12.13539671
Mondi Inncoat GmbH,DE,2.3,47.79528198,12.12443242
Knorr-Bremse Systeme für Nutzfahrzeuge GmbH. Standort Aldersbach,DE,2.2,48.59209592,13.09185499
Siemens AG. SI EP MF RBG. Gerätewerk Regensburg,DE,0.3,49.00810024,12.14444038
Koenig & Bauer Gießerei GmbH,DE,7.5,49.80813625,9.880927817
Gerresheimer Lohr GmbH,DE,30,49.98394287,9.578945126
Airbus Helicopters Deutschland GmbH,DE,0.39,48.71098142,10.77105998
ArcelorMittal Bremen GmbH,DE,4.55,53.12493943,8.686728464
ArcelorMittal Bremen GmbH / BREMA Walzwerk GmbH,DE,4.55,53.12493943,8.686728464
Mercedes Benz AG Werk Bremen,DE,0.28,53.06403584,8.907791298
Mercedes Benz AG Werk Bremen,DE,0.28,53.06403584,8.907791298
BASF Lampertheim GmbH ,DE,2.46,49.61833176,8.440128512
Merck KGaA ,DE,1.5,49.76762049,8.481876287
Daikin Refrigerants Frankfurt GmbH,DE,0.13,50.0947259,8.540377106
Daikin Refrigerants Frankfurt GmbH,DE,0.13,50.0947259,8.540377106
Sanofi-Aventis Deutschland GmbH,DE,0.13,50.09530815,8.537519383
K+S Minerals and Agriculture GmbH,DE,0.47,51.61435914,6.550873471
Aurubis AG,DE,1.88,53.51798533,10.03496985
Mercedes-Benz Mercedes-Benz. Werk Hamburg,DE,4.84,53.47572801,9.926479113
Mercedes-Benz Mercedes-Benz. Werk Hamburg,DE,4.84,53.47572801,9.926479113
ArcelorMittal Hamburg GmbH,DE,2.46,53.52295487,9.898396682
BASF Catalysts Germany GmbH Adsorbentien,DE,4.49,52.65619507,9.205522569
Smurfit Kappa Hoya Papier und Karton GmbH,DE,3.23,52.81137987,9.150202248
Smurfit Kappa Hoya Papier und Karton GmbH,DE,3.23,52.81137987,9.150202248
Honeywell Specialty Chemicals Seelze GmbH,DE,3.44,52.40072053,9.583180181
thyssenkrupp Steel Europe AG Werk Ruhrort,DE,3.38,51.46030211,6.731030496
Salzgitter Mannesmann Grobblech GmbH,DE,0.45,51.4383997,6.875234774
Evonik Functional Solutions GmbH,DE,2.08,50.82397749,7.029616524
