facility,flood_present,flood_pct,flood_months,exclusion_present,exclusion_pct,exclusion_suffix,likelihood_present,likelihood_mean,likelihood_max,lon,lat,HEFAS_months,HEFAS_flood_days_any,HEFAS_any_flood_any,HEFAS_level_mean,HEFAS_level_max,HEFAS_min_dist_km,AI observation
3M_CO-VALLEY,1,15.0,2022-02_2022-07_2022-08_2022-10_2022-11_2022-12,1,17.0,2022-12,1,28.4,98.0,-96.33793,41.30694,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 15% HEFAS negative ?km web: no specific flood news found for this year
3M_CO_-_WAUSAU_DOWNTOWN,0,0.0,2022-10_2022-11,1,66.0,2022-12,1,13.0,100.0,-89.637722,44.950111,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
3M_CO_DBA_3M_CLINTON,0,0.0,2022-05,1,81.0,2022-12,1,12.0,92.0,-84.106226,36.095239,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
3M_Wroc_aw_IATD,1,1.0,2022-02_2022-05_2022-06,1,47.0,2022-12,1,25.7,87.0,17.125009,51.124939,,2.0,True,-1.3297491039426523,2.0,5.0,High likelihood. GFM positive 1% HEFAS positive 5km web: no specific flood news found for this year
3P_PROCESSING_LLC,0,0.0,,1,50.0,2022-12,1,14.4,49.0,-97.383264,37.663307,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
409_-_RED_WING_OILSEEDS_PLANT,0,0.0,,1,70.0,2022-12,1,14.7,49.0,-92.533275,44.568294,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AAON_INC,0,0.0,,1,54.0,2022-12,1,16.6,49.0,-96.015918,36.126186,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
AAR_LANDING_GEAR_SERVICES,1,1.0,2022-05,1,45.0,2022-12,1,12.1,83.0,-80.349173,25.86385,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 1% HEFAS negative ?km web: no specific flood news found for this year
ABBOTT_LABORATORIES,0,0.0,,1,95.0,2022-12,1,5.7,49.0,-79.267743,37.130566,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ABB_MOTORS_MECHANICAL_INC.,0,0.0,,1,81.0,2022-12,1,10.5,49.0,-88.440849,33.478234,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ABB_SI_Beloeil,1,5.0,2022-03,1,17.0,2022-12,1,37.3,100.0,-73.227363,45.594959,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 5% HEFAS negative ?km web: no specific flood news found for this year
ABGS0154260_Pipestone_South_Gas_Battery_14-17,1,19.0,2022-01_2022-02_2022-03_2022-04_2022-05_2022-06_2022-07_2022-09_2022-11_2022-12,1,56.0,2022-12,1,27.5,100.0,-119.186002,55.066964,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 19% HEFAS negative ?km web: no specific flood news found for this year
ACME_BRICK_CO-BENNETT_PLANT,0,0.0,,1,72.0,2022-12,1,12.2,49.0,-98.049458,32.718637,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ACRA_AEROSPACE,0,0.0,,1,58.0,2022-12,1,13.1,49.0,-117.887122,33.856405,,0.0,False,0.0,0.0,,Low likelihood. GFM negative 0% HEFAS negative ?km web: no specific flood news found for this year
ACTAGRO_LLC,1,21.0,2022-01_2022-02_2022-03_2022-04_2022-05_2022-07_2022-09_2022-10,1,17.0,2022-12,1,41.3,100.0,-89.98921,35.690089,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 21% HEFAS negative ?km web: no specific flood news found for this year
ADM,1,1.0,2022-01_2022-02_2022-12,1,54.0,2022-12,1,17.2,94.0,-96.498687,41.430588,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 1% HEFAS negative ?km web: no specific flood news found for this year
ADM_ALLIANCE_NUTRITION_INC,1,19.0,2022-01_2022-02_2022-03_2022-04_2022-05_2022-06_2022-07_2022-08_2022-10_2022-11_2022-12,1,29.0,2022-12,1,35.1,100.0,-99.987945,40.854695,,0.0,False,0.0,0.0,,Medium likelihood. GFM positive 19% HEFAS negative ?km web: no specific flood news found for this year
